Country,ever_fascist,ever_communist
Australia,No,No
Austria,Yes,No
Belgium,No,No
Canada,No,No
Chile,No,No
Czech Republic,No,Yes
Denmark,No,No
Estonia,No,Yes
Finland,No,No
France,No,No
Germany,Yes,No
Great Britain,No,No
Greece,No,No
Hungary,Yes,Yes
Iceland,No,No
Ireland,No,No
Italy,Yes,No
Japan,Yes,No
Latvia,No,Yes
Lithuania,No,Yes
Luxembourg,No,No
Mexico,No,No
Netherlands,No,No
New Zealand,No,No
Northern Ireland,No,No
Norway,No,No
Poland,No,Yes
Portugal,Yes,No
Slovakia,Yes,Yes
Slovenia,Yes,Yes
South Korea,No,No
Spain,Yes,No
Sweden,No,No
Switzerland,No,No
Turkey,No,No
United States,No,No