"","country_wave","rac_ec_adj","country","S020"
"1","Australia 1995",0.451955919959554,"Australia",1995-01-01
"2","Australia 2005",0.502926128003793,"Australia",2005-01-01
"3","Australia 2012",0.97177297151134,"Australia",2012-01-01
"4","Austria 1999",0.102544204740007,"Austria",1999-01-01
"5","Austria 2008",2.71304983367954,"Austria",2008-01-01
"6","Belgium 2009",0.0685167264635547,"Belgium",2009-01-01
"7","Canada 2000",-0.163936244042092,"Canada",2000-01-01
"8","Canada 2006",1.20243945301444,"Canada",2006-01-01
"9","Chile 1996",-0.656489305982378,"Chile",1996-01-01
"10","Chile 2000",0.122222040221015,"Chile",2000-01-01
"11","Chile 2006",0.0425055062672717,"Chile",2006-01-01
"12","Chile 2012",-0.0302072840229156,"Chile",2012-01-01
"13","Czech Republic 1998",-1.58955697493503,"Czech Republic",1998-01-01
"14","Czech Republic 1999",-1.65166538219846,"Czech Republic",1999-01-01
"15","Czech Republic 2008",-0.646282026788001,"Czech Republic",2008-01-01
"16","Denmark 2008",1.19415451141121,"Denmark",2008-01-01
"17","Estonia 1996",-0.174320615094819,"Estonia",1996-01-01
"18","Estonia 1999",0.350829732754365,"Estonia",1999-01-01
"19","Estonia 2008",-0.605933519689846,"Estonia",2008-01-01
"20","Estonia 2011",-1.11558387081974,"Estonia",2011-01-01
"21","Finland 1996",-1.51728769545956,"Finland",1996-01-01
"22","Finland 2000",0.37254587242136,"Finland",2000-01-01
"23","Finland 2005",0.220892646055646,"Finland",2005-01-01
"24","Finland 2009",0.180273941884024,"Finland",2009-01-01
"25","France 1999",1.09796894713098,"France",1999-01-01
"26","France 2008",1.06900241402417,"France",2008-01-01
"27","Germany 1997",-0.808990445307475,"Germany",1997-01-01
"28","Germany 2006",-0.0921592424484354,"Germany",2006-01-01
"29","Germany 2008",-0.598854180324571,"Germany",2008-01-01
"30","Germany 2013",-0.348177718289664,"Germany",2013-01-01
"31","Great Britain 1999",0.249133008325534,"Great Britain",1999-01-01
"32","Great Britain 2009",0.958142337986049,"Great Britain",2009-01-01
"33","Greece 2008",0.550863328779321,"Greece",2008-01-01
"34","Hungary 1998",-1.54451096532617,"Hungary",1998-01-01
"35","Hungary 2008",-1.24822902241486,"Hungary",2008-01-01
"36","Hungary 2009",-1.54029917432191,"Hungary",2009-01-01
"37","Iceland 1999",0.135921795755434,"Iceland",1999-01-01
"38","Iceland 2009",0.414228277173101,"Iceland",2009-01-01
"39","Ireland 1999",-0.648125472357751,"Ireland",1999-01-01
"40","Ireland 2008",-0.666221807320605,"Ireland",2008-01-01
"41","Italy 1999",0.574989218172628,"Italy",1999-01-01
"42","Italy 2005",0.918570223505982,"Italy",2005-01-01
"43","Italy 2009",0.276544336157925,"Italy",2009-01-01
"44","Japan 2010",-0.787842378171672,"Japan",2010-01-01
"45","Latvia 1996",-0.0384297400089195,"Latvia",1996-01-01
"46","Latvia 2008",-0.509330764207974,"Latvia",2008-01-01
"47","Lithuania 1997",-0.467664858398347,"Lithuania",1997-01-01
"48","Lithuania 1999",-0.129664708354486,"Lithuania",1999-01-01
"49","Lithuania 2008",-1.43956883719132,"Lithuania",2008-01-01
"50","Luxembourg 2008",0.0336664727457581,"Luxembourg",2008-01-01
"51","Mexico 1996",0.148592536665126,"Mexico",1996-01-01
"52","Mexico 2000",-0.0886925160455791,"Mexico",2000-01-01
"53","Mexico 2005",-0.117260715031678,"Mexico",2005-01-01
"54","Mexico 2012",-0.250404221462665,"Mexico",2012-01-01
"55","Netherlands 1999",1.77652307822102,"Netherlands",1999-01-01
"56","Netherlands 2008",0.0880935412886845,"Netherlands",2008-01-01
"57","Netherlands 2012",1.3230151095948,"Netherlands",2012-01-01
"58","New Zealand 1998",-0.831662963252518,"New Zealand",1998-01-01
"59","New Zealand 2004",0.0461763424608668,"New Zealand",2004-01-01
"60","New Zealand 2011",-0.104137052969333,"New Zealand",2011-01-01
"61","Northern Ireland 1999",-1.29825985174145,"Northern Ireland",1999-01-01
"62","Northern Ireland 2008",-0.753339820036699,"Northern Ireland",2008-01-01
"63","Norway 1996",1.71188296822447,"Norway",1996-01-01
"64","Norway 2007",0.924631309306832,"Norway",2007-01-01
"65","Norway 2008",0.908216915849518,"Norway",2008-01-01
"66","Poland 1997",-1.52723692060398,"Poland",1997-01-01
"67","Poland 1999",-1.41747746738661,"Poland",1999-01-01
"68","Poland 2005",-2.31869486045883,"Poland",2005-01-01
"69","Poland 2008",-1.58046602237698,"Poland",2008-01-01
"70","Poland 2012",-1.33722166226283,"Poland",2012-01-01
"71","Portugal 2008",-1.47652931406129,"Portugal",2008-01-01
"72","Slovakia 1998",-1.44611011949923,"Slovakia",1998-01-01
"73","Slovakia 2008",-1.39822713928964,"Slovakia",2008-01-01
"74","Slovenia 1995",-0.879070697728236,"Slovenia",1995-01-01
"75","Slovenia 2005",0.0370259871977971,"Slovenia",2005-01-01
"76","Slovenia 2008",-0.885999761577765,"Slovenia",2008-01-01
"77","Slovenia 2011",-0.78525788843745,"Slovenia",2011-01-01
"78","South Korea 1990",-0.00842124010091714,"South Korea",1990-01-01
"79","South Korea 2001",-0.0919291876134675,"South Korea",2001-01-01
"80","South Korea 2005",-0.594948799819761,"South Korea",2005-01-01
"81","South Korea 2010",-0.0864301379323328,"South Korea",2010-01-01
"82","Spain 1995",0.126422593512802,"Spain",1995-01-01
"83","Spain 2000",1.42362668431815,"Spain",2000-01-01
"84","Spain 2007",1.82335647333202,"Spain",2007-01-01
"85","Spain 2008",0.371503299227855,"Spain",2008-01-01
"86","Spain 2011",1.96600633934198,"Spain",2011-01-01
"87","Sweden 1996",0.78554684472716,"Sweden",1996-01-01
"88","Sweden 2006",0.464407616643392,"Sweden",2006-01-01
"89","Sweden 2009",1.50253484591462,"Sweden",2009-01-01
"90","Sweden 2011",1.03854844404926,"Sweden",2011-01-01
"91","Switzerland 1996",0.510457899898389,"Switzerland",1996-01-01
"92","Switzerland 2007",0.297277223687902,"Switzerland",2007-01-01
"93","Switzerland 2008",0.0951378893801032,"Switzerland",2008-01-01
"94","Turkey 1990",-0.935898590219024,"Turkey",1990-01-01
"95","Turkey 1996",0.0463299868993433,"Turkey",1996-01-01
"96","Turkey 2001",-0.0161275625563366,"Turkey",2001-01-01
"97","Turkey 2007",-0.259304524240518,"Turkey",2007-01-01
"98","Turkey 2009",0.856266872436972,"Turkey",2009-01-01
"99","Turkey 2012",0.670843330808572,"Turkey",2012-01-01
"100","United States 1995",1.88041729445024,"United States",1995-01-01
"101","United States 1999",0.295616978645494,"United States",1999-01-01
"102","United States 2006",0.975737586659502,"United States",2006-01-01
"103","United States 2011",1.40086316264332,"United States",2011-01-01
